S No,Project,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Latitiude N,,Longitude E,,VDC/District,C O D
100,Super Dordi Kha Hydropower Project,54,Dordi,115,2070-11-21,2106-11-20,Peoples Hydropower Company Pvt.Ltd.,"G.P.O. Box 14165 Maharajgunj Kathmandu, Phone 016222304 Fax 014720739","28o 16' 20""","28o 18' 43""","84o 31' 00""","84o 34' 10""","Dhodeni,Faleni (Lamjung)",2080-02-08
101,Solu Hydropower Project,23.5,Solu Khola,117,2070-12-04,2105-12-03,Upper Solu Hydroelectric Company Pvt Ltd,"Hattisar, Kathmandu, Tel: 4434895, Fax: 4434937","27o 26' 42""","27o 28' 48""","86o 34' 06""","86o 35' 00""","Gora Khami,Garma,Salleri (Solukhumbu)",2076-12-10
102,Lower Solu Hydropower Project,82,Solu Khola,118,2070-12-05,2106-12-04,Solu Hydropower Ltd,"Tribeni Complex, Second floor, Putalisadak, Kathmandu-28, Tel; 4261827, Fax: 4260266","27o 24' 49""","27o 26' 41""","86o 34' 31""","86o 37' 34""","Garma,Tingla (Solukhumbu)",2082-04-24
103,Upper Dordi A HEP,25,Dordi,121,2071-01-15,2107-01-14,Liberty Energy Hydropower Pvt. Ltd.,"Stock House, Kathmandu Municipality-29, Kalikasthan; PH: 01-4443545/ 4441988","28o 15' 00""","28o 16' 20""","84o 28' 46""","84o 31' 59""","Dhodeni,Faleni (Lamjung)",2079-08-17
104,Maya Khola Hydropower Project,14.9,Maya,123,2071-02-26,2106-02-25,Maya Khola Hydropower Company Ltd,"126 Milap Marg, Bisalnagar, Kathmandu, Nepal. P.O.Box: 8975, EPC: 5602, Tel: 4417947, Fax; 977-1-4433610","27o 13' 40""","27o 15' 45""","87o 18' 33""","87o 22' 26""","Mamling,Madi Rambeni,Baneswor (Sankhuwasabha)",2080-03-22
105,Dwari Khola SHP,3.75,Dwari,124,2071-02-26,2106-02-25,Bhugol Energy Development Company Pvt Ltd,"Kupandole, Lalitpur, Tel: 9841488723,9841505699","28o 55' 00""","28o 56' 48""","81o 48' 56""","81o 50' 29""",,2074-01-23
106,Bagmati Nadi,32,Bagmati,125,2071-03-19,2106-03-18,Mandu Hydropower Ltd.,"Kathmandu,Ward No. 2, Tel no. 4169088","27o 30' 21""","27o 32' 30""","85o 13' 43""","85o 15' 20""","Kogate,Ipa Panchakanya,Sisneri Mahadevsthan (Makawanpur)",2075-12-19
107,Molun Khola SHP,7,Molun,127,2071-06-02,2106-06-01,Molun Hydropower Co. Pvt. Ltd,"Rabibhawan Kathmandu, P.O.Box 5813, Phone 01-4278130, Fax 01-4280799","27o 20' 00""","27o 21' 20""","86o 25' 42""","86o 26' 19""","Baraneshwor,Prapchan,Harkapur (Okhaldhunga)",2074-12-12
108,Solu Khola (Dudha Koshi),86,Solu Khola,126,2071-06-02,2107-06-01,Sahas Urja Limited,"Kathmandu-1, Hatisar Phone 01-4419182","27o 21' 53""","27o 25' 15""","86o 37' 35""","86o 41' 15""","Kagel,Tingla,Panchan,Newa Beddhari,Salyan (Solukhumbu)",2079-11-17
109,Upper Khimti II,7,Khimti Khola,131,2071-12-13,2107-12-12,Himalaya Urja Bikash Company Limited,G.P.O. Box: 10429 Ph: 4487794,"27o 38' 20""","27o 39' 55""","86o 18' 10""","86o 20' 10""",Chuchure (Ramechhap),2079-02-17
110,Upper Hewa HPP,8.5,Hewa (Sankhuwasabha),133,2072-01-15,2107-01-14,Upper Hewa Khola Hydropower Company Pvt Ltd,"GPO Box: 14165, Kathmandu Tel: 4102757","27o 19' 34""","27o 20' 55""","87o 20' 45""","87o 22' 30""","Jaljala,Siddhapokhari (Sankhuwasabha)",2078-12-19
111,Suri Khola,7,Suri,134,2072-02-24,2108-02-23,Suri Khola Hydropower Pvt Ltd,"GPO Box: 8941 , Katmandu. Phone no 4117079","27o 44' 10""","27o 45' 14""","86o 12' 50""","86o 15' 10""",",Chankhu (Dolakha)",2079-01-18
112,Rukum gad,5,Rukum Gad,136,2072-03-09,2108-03-08,Rapti Hydro and General Construction Pvt. Ltd.,"Tripureshwor, Kathmandu, P. O. Box no 13961 Phone 014101140, 014251080","28o 35' 36""","28o 36' 50""","82o 37' 30""","82o 39' 01""","Kanda,Sobha (Rukum)",2079-12-28
113,Ghar Khola,14,Ghar,137,2072-03-11,2107-03-10,Myagdi Hydropower Ltd.,"Pardi Pokhara, Phone 061-463429","28o 27' 00""","28o 29' 05""","83o 38' 00""","83o 40' 20""",",Shikha (Myagdi)",2080-05-08
114,Ghatte Khola,5,Ghatte Khola (Dolakha),138,2072-03-24,2107-03-23,Mankamana Engineering HP,"P.O.Box. 8020, Kathmandu,4785771","27o 46' 25""","27o 47' 14""","86o 17' 00""","86o 18' 35""",Marbu (Dolakha),2077-11-23
115,Iwa Khola,9.9,Iwa Khola,139,2072-03-28,2107-03-27,Ridi Power Company Ltd.,"Trade Tower Building, Thapathali ,Katmandu Tel no 01 5111015","27o 16' 30""","27o 17' 20""","87o 50' 05""","87o 51' 52""",Sawalakhu (Taplejung),2076-06-20
116,Theule Khola HPP,1.5,Theule,140,2072-03-28,2107-03-27,Barahi Hydropower Pvt Ltd,"Lakeside Pokhra-6, Tel: 061-520872,01-520872","28o 10' 20""","28o 11' 10""","83o 36' 51""","83o 38' 25""","Kusmi,Binamare,Sarkuwa (Baglung)",2075-03-24
117,Upper Tadi,11,Tadi Khola,144,2072-06-22,2107-06-21,Surya Kund Hydro Electric Pvt. Ltd.,"Anam Nagar Kathmandu, Phone 01-4770245, 01-4771285 Fax 01-4771109","27o 57' 32""","27o 58' 31""","85o 25' 01""","85o 27' 00""",Rautbesi (Nuwakot),2082-04-12
118,Likhu -1,77,Likhu Khola,145,2072-06-22,2108-06-21,Pan Himay Energy Ltd,"Ph. 01-4244352, 1815/105 Kantipath, Kathmandu","27o 36' 00""","27o 40' 35""","86o 26' 00""","86o 27' 45""",Gumdel (Ramechhap),2080-12-19
119,Likhu -2,55,Likhu Khola,146,2072-06-22,2108-06-21,Global Hydropower Associate Ltd,"Kantipath, Kathmandu, Phone no 4225009","27o 34' 03""","27o 36' 26""","86o 22' 43""","86o 26' 00""",Gumdel (Ramechhap) Chaulakharka(Waula) (Solukhumbu),2080-04-15
120,Likhu Khola 'A',51,Likhu Khola,148,2072-07-16,2107-07-15,Numbur Himalaya Hydropower Ltd,"P.O.Box 4286 Kathmandu, Phone 014478774","27o 31' 19""","27o 34' 02""","86o 21' 30""","86o 23' 05""","Chaulakharka(Waula),Goli (Solukhumbu)",2078-10-25
121,Upper Piluwa Khola-2 SHP,4.72,Piluwa Khola,149,2072-09-03,2107-09-02,"Menchhiyam Hydropower P Ltd. Itahari,Sunsari,9841521159","PO Box no 8975 EPC 1030 Kathmandu, Phone no 4008602, 9843142092","27o 17' 40""","27o 18' 01""","87o 23' 18""","87o 24' 21""","Mawadin,Siddhakali (Sankhuwasabha)",2079-11-22
122,Singati Khola hydropower project,25,Singati,150,2072-09-30,2107-09-29,Singati Hydro Energy Pvt. Ltd.,"Durbar Marg Kathmandu, Tel: 4228816, Fax : 977-1-4223570","27o 44' 00""","27o 47' 17""","86o 07' 05""","86o 09' 55""","Babare,Laduk,Lamidada (Dolakha)",2078-04-17
123,Kalanga,15.33,Kalanga Gad,151,2072-12-14,2107-12-13,Kalanga Hydropower P Ltd,"Sukedhara, Kathmandu, Po. Box. No. 21399, Phone No. 01-4116052, 01-4116053, Email: info.kghep@gmail.com","29o 30' 41""","29o 34' 12""","80o 50' 45""","80o 54' 45""",",Sunkuda,Khiratadi,Banjh (Bajhang)",2079-10-27
124,Upper Kalangad,38.46,Kalanga Gad,152,2072-12-14,2107-12-13,Sani Gad Hydro pvt. Ltd,"Sukedhara, Rara Marg, Kathmandu, Po. Box. No. 13607/21399, Phone no. 01-4101652, 01-4101653, Email: info.ukhep@gmail.com","29o 34' 43""","29o 38' 37""","80o 52' 30""","80o 57' 36""","Dahabagar,Khiratadi (Bajhang)",2079-11-06
125,Sanigad,10.7,Sani Gad,153,2072-12-14,2107-12-13,Bungal Hydro Ltd,"Kalanga Complex, Dobhighat, Lalitpur-3, 5529927, 5524335, kbhep@gmail.com","29o 36' 15""","29o 39' 40""","80o 49' 25""","80o 51' 50""","Kaphalaseri,Pipalkot (Bajhang)",2080-05-02
126,Lower Likhu,28.1,Likhu Khola,154,2072-12-28,2108-12-27,Swaita Ganga Hydropower and Construction Pvt. Ltd.,"P.O.Box. 439, Naxal, Kathmandu, Phone 01-4415314, 4446442, Fax 01-44412777","27o 23' 23""","27o 25' 50""","86o 13' 17""","86o 15' 38""","Tarkerabari,Yasam,Gamanamatar (Okhaldhunga) Bijulikot,Gothgau (Ramechhap)",2079-07-19
127,Taksar Pikhuwa,8,Pikhuwa,159,2073-03-03,2108-03-02,Taksar Pikhuwa Khola Hydropower Ltd.,"Gairigaun, Tinkune, Kathmandu, Phone no 9851099478, 4495459, Email: taksarpikhuwahydropower@gmail.com","27o 07' 00""","27o 08' 50""","87o 01' 40""","87o 04' 15""","Kota,Mane Bhanjyang,Taksar,Dalgaun (Bhojpur)",2078-01-01
128,Sanjen Khola,78,Sanjen,160,2073-03-09,2109-03-08,Sala Sungi P Ltd,"Kathmandu-4, Chhapalkarkhana,, 01-4015674, info.salasungi@gmail.com","28o 14' 26""","28o 17' 11""","85o 15' 00""","85o 18' 21""",Chilime (Rasuwa),2081-10-29
129,Upper Balephi A,36,Balephi,163,2073-04-12,2108-04-11,Balephi Hydropower Ltd.,"Koteshwor 35 Kathamndu; P.O.Box 23189 Kathmandu, Phone 9771 4602073","27o 53' 45""","27o 57' 00""","85o 45' 30""","85o 47' 40""","Golche,Pangtang,Dhumthang (Sindhupalchok)",2079-08-06
130,Bijaypur Khola-2 HPP,4.5,Bijayapur,166,2073-04-25,2108-04-24,Civil hydropower company,"Lekhanath Nagarpalika, Phone no 0610465562, email : civilhydropower@gmail.com","28o 09' 10""","28o 10' 37""","84o 02' 00""","84o 02' 36""",Lekhnath (Kaski),2077-11-18
131,Upper Khorunga HPP,7.5,Khoranga Khola,168,2073-05-08,2106-11-06,Terhathum Power Company Pvt. Ltd.,"Bagbajar, Kathmandu, Po. Box. No. 14130, Phone no 4240661","27o 11' 48""","27o 13' 59""","87o 31' 20""","87o 32' 30""","Morahang,Shree Jung,Oyabjung,Pouthak (Terhathum)",2076-11-17
132,Upper Solu Khola HPP,19.8,Solu Khola,169,2073-05-16,2106-11-16,Beni Hydropower Project,,"27o 31' 15""","27o 32' 57""","86o 34' 27""","86o 35' 19""","Beni,Salleri (Solukhumbu)",2080-03-01
133,Makari gad,10,Makari gad,170,2073-05-27,2109-05-26,Makarigad Hydropower Ltd,"Jagrittole Narayangopal Chowk, House No 50, Gorkhali Housei, Kathmandu; Phone no 44420530, Mob. 9841412569 (Karan Chand)","29o 46' 54""","29o 48' 03""","80o 50' 33""","80o 52' 30""",",Guljar,Khandeswori (Darchula)",2079-11-27
134,Yambaling Khola,7.271,Yambling,172,2073-06-09,2109-06-08,Yambaling Hydropower Ltd.,"Lalitpur-10, Bagmati Tel: 98511140280,014215238, email: ymlhydro@gmail.com","27o 56' 13""","27o 57' 23""","85o 47' 25""","85o 50' 00""","Gumba,Golche (Sindhupalchok)",2080-11-08
135,Rahughat Mangale,37,Rahughat,175,2073-07-29,2109-07-28,Tundi Power Company P.Ltd.,"Sanepa Lalitpur, P.O.Box. 6341, Phone 01-5555573, Fax 01-5555574, 9851041573","28o 28' 30""","28o 31' 50""","83o 30' 00""","83o 31' 32""","Pakhapani,Chimkhola,Kuinemangale (Myagdi)",2082-04-20
136,Upper Naugad Gad Hydropower Project,8,Naugad,177,2073-09-14,2108-09-14,Api Power Company Ltd.,"Trade Tower, Thapathali, Kathmandu. Phone: 015511033, 015111037, Fax: 015111035","29o 43' 25""","29o 44' 18""","80o 36' 26""","80o 39' 48""","Dhuligada,Sikhar (Darchula)",2076-07-13
137,Upper Mardi Hydropower Project,7,Mardi,181,2073-10-14,2108-05-31,United Idimardi and R.B. Hydropower Pvt Ltd,"Sanepa , Lalitpur Tel: 01-5520254, 52012027","28o 22' 16""","28o 24' 10""","83o 52' 03""","83o 54' 30""",Lwangghale (Kaski),2076-06-20
138,Upper Chirkhuwa Khola,4.7,Chirkhuwa,185,2073-11-11,2108-11-10,Chirkhuwa Hydropower Company Pvt td,"GPO Box: 19387 , Katmandu, phone no 4770297","27o 21' 23""","27o 22' 30""","87o 04' 48""","87o 06' 32""","Nepaledada,Mulpani,Khartimchcha (Bhojpur)",2081-02-20
139,Rawa Khola,3,Rawa Khola,186,2073-11-26,2108-11-25,Rawa Energy Development Pvt Ltd,"Ghattekulo, Kathmandu , P.O.Box 20770, Phone 01-4244620","27o 20' 28""","27o 21' 35""","86o 50' 38""","86o 51' 33""","Sungdel,Diplung (Khotang)",2077-06-04
140,Super Mai Hydropower Project,7.8,Mai Khola,188,2073-11-30,2108-11-29,Supermai Hydropower Pvt.Ltd.,"Kathmandu -5, Tangal , Phone no 4470887, email: supermaihydropower@gmail.com","26o 56' 27""","26o 58' 00""","87o 56' 30""","87o 57' 47""","Barbote,Soyang,Sumbek (Ilam)",2075-07-11
141,Super Madi,44,Madi Khola,192,2073-12-17,2108-12-16,Himal Hydro and General Construction Ltd.,"Kupondole, Lalitpur-10, 01-4527090, 4523971","28o 19' 02""","28o 21' 39""","84o 04' 45""","84o 08' 34""",",Namarjung,Parche,Saimrang,Kalika (Kaski)",2079-12-27
142,Upper Syange Khola SHP,2.4,Syange,197,2074-02-22,2109-02-21,Upper Syange Hydropower Pvt. Ltd.,"Samakhusi, Kathmandu, P. O. Box: 8975, Phone: 4357646, Fax: 4354186","28o 23' 05""","28o 23' 37""","84o 22' 48""","84o 23' 54""",Taghring (Lamjung),2078-11-15
143,Middle Tamor,73,Tamor,198,2074-02-22,2110-02-21,Sanima Middle Tamor Hydropower Ltd,"Dhumbarahi, Kathmandu, Phone no 437228/437030, email: sanima@sanimahydro.com","27o 23' 29""","27o 25' 19""","87o 40' 01""","87o 42' 40""","Hangdeva,Khokling,Phurumbu,Sawadin (Taplejung)",2081-01-23
144,Rudi Khola-B Hydropower Project,6.6,Rudi Khola,199,2074-02-26,2109-02-25,Bindhyabasini Hydropower Development Co. Pvt Ltd,"Naya Baneshwor, Kathmandu, P.O. Box no 10242, Phone no 4781891, Fax no 4785671, email: rudikhola@gmail.com","28o 16' 39""","28o 17' 50""","84o 11' 00""","84o 13' 00""",Mijuredada (Kaski) Pasagaun (Lamjung),2076-11-05
145,Lankhuwa Khola,5,Lankhuwa,200,2074-03-28,2109-03-27,Sabhapokhari Hydropower Ltd.,"Banasthali, Kathmandu, 01-4390229, 9851092494","27o 25' 25""","27o 26' 50""","87o 17' 00""","87o 18' 30""",Dhupu (Sankhuwasabha),2081-10-24
146,Nilgiri Khola,38,Nilgiri,202,2074-04-31,2109-04-30,Nilgiri Khola Hydropower Company Pvt. Ltd.,"Panipokhari, Kathmandu, Phone: 4437705, 4441648","28o 34' 37""","28o 36' 00""","83o 40' 00""","83o 43' 00""",",Narchyang (Myagdi)",2081-04-21
147,Buku-Kapati Hydropower Project,5,Buku,203,2074-05-08,2109-05-07,Him Star Urja Company Ltd.,"Baluwatar-4, Kathmadu. PO Box : 20762, Phone no 4167507, 6911637","27o 30' 00""","27o 31' 20""","86o 22' 34""","86o 24' 10""","Bhussinga,Rawadolu (Okhaldhunga) Goli (Solukhumbu)",2082-05-14
148,Seti Khola HPP,3.5,Seti Khola (Parbat),205,2074-05-26,2109-05-25,Parbat Paiyu Khola Hydropower Company,"Head Office ,Kathmandu Tel: 2093013, Fax: 4385668","28o 00' 37""","28o 02' 05""","83o 36' 45""","83o 37' 30""",Shivalaya (Parbat),2081-03-07
149,Padam Khola SHP,4.8,Padam Khola,207,2074-06-29,2109-06-28,Dolti Power Company P. Ltd,"Baneshwor, Kathmandu, Phone no 4105021, 97510001589, 9851003846, emai: info@doltipower.com.np","28o 54' 02""","28o 55' 00""","81o 49' 22""","81o 51' 19""",Kalika (Dailekh),2076-09-08
150,Sapsup Khola Small Hydro Electric Project,7.151,Sapsup Khola,211,2074-08-29,2109-08-28,Three Star Hydro Power Pvt.Ltd.,"593/55 Kha Thapa Gaun, New Banesor-10, Kathmandu.4468423,9851105341","27o 06' 31""","27o 08' 34""","86o 44' 20""","86o 45' 23""","Batase,Chhorambu,Rajapani (Khotang)",2078-09-23
151,Richet Khola SHP,5,Richet,214,2074-09-04,2109-09-03,Richet Jalbidhyut Company Pvt. Ltd.,"Lalitpur-15, Mahalaxmisthan, phone no 5527469, 55237849, 9851006013, email: richethydro@gmail.com","28o 10' 10""","28o 10' 55""","84o 54' 58""","84o 55' 51""","Manbu,Kashigaun (Gorkha)",2078-04-28
152,Buku Khola,6,Buku,216,2074-09-25,2109-09-24,Apolo Hydropower Pvt.Ltd,"Lalitpur, phone: 5201375","27o 30' 47""","27o 31' 35""","86o 20' 55""","86o 22' 34""","Bhussinga,Rawadolu (Okhaldhunga) Goli (Solukhumbu)",2082-12-18
153,Rele Khola,6,Rele Khola,221,2074-10-28,2110-10-27,Hym Consult Ltd.,"SiphalKathmandu, Ph 4489327, 4491271 (Previous) House No. 280, Madan Bhandari Path, Babarmahal, Kathmandu, Ward No.11, 9","28o 30' 24""","28o 32' 00""","83o 40' 43""","83o 42' 00""",Narchyang (Myagdi),2082-03-23
154,Super Mai-A HPP,9.6,Mai Khola,224,2074-11-18,2110-02-07,Sagarmatha Jalbidhyut Company P.Ltd.,"168/22 Thapa Gaun, New Banesor-10, Kathmandu.42272949, 9851018025,9751000158","26o 58' 08""","26o 59' 59""","87o 57' 36""","87o 58' 26""","Sumbek,Sulubung,Pyang (Ilam)",2077-02-32
155,Upper Gaddi Gad,1.55,Gaddi Gad,225,2074-11-30,2109-11-29,Shaileshwari Power Nepal Ltd.,"Sankhamul,KMC-31, Phone no: 9843116449/9851018901, email: saileshwori.power17@gmail.com","29o 16' 41""","29o 17' 23""","81o 03' 25""","81o 05' 00""","Gaihragau,Kadamadaun,Sanagau (Doti)",2082-07-09
156,Mai Beni HPP,9.51,Mai Khola,228,2075-01-06,2111-01-05,Samling Power company Pvt.Ltd,"Baneshwor 10, Kathmandu, Phone no 9851018025, 5539135, 5525228","26o 53' 09""","26o 55' 41""","87o 56' 38""","87o 57' 30""","Namsaling,Soyang,Goduk (Ilam)",2078-06-01
157,Upper Chhyandi Small HPP,4,Chhyangdi,233,2075-02-09,2111-02-08,Chhyandi Hysropower LTD,"Gairidhara-2, Kathmandu, 4426483, PO 19380","28o 16' 05""","28o 17' 46""","84o 28' 38""","84o 29' 57""","Bansar,Faleni (Lamjung)",2078-08-24
158,Upper Phawa HPP,5.8,Phawa Khola,238,2075-05-19,2110-05-18,Unitech Hydropower Company Ltd.,"Kathmandu-32. 01-4489018,98560 66100","27o 19' 04""","27o 21' 02""","87o 46' 05""","87o 48' 12""","Sikaicha,Tiringe (Taplejung)",2081-01-08
159,Puwa II hydropower Project,4.96,Puwa,240,2075-06-23,2110-06-22,Peoples Power Ltd,"Kamal Pokhari Kathmandu; PH. -014462844, 01-4437611","26o 57' 14""","26o 59' 24""","87o 53' 49""","87o 54' 34""","Sakhejung,Maipokhari,Barbote (Ilam)",2079-08-12
160,Nilgiri Khola-II cascade Project,71,Nilgiri,241,2075-07-07,2110-07-06,Nilgirikhola Hydropower Company Limited,"Heritage Plaza -1 Kamaladi,Kathmandu -28, GPO Box: 7970, Tel: 01-416908905","28o 32' 17""","28o 34' 37""","83o 40' 00""","83o 43' 00""",Narchyang (Myagdi),2080-12-24
161,Upper Lohore SHP,4,Lohare Khola,246,2075-09-16,2110-09-15,Upper Lohore Khola Hydropower Company. Pvt. Ltd,"P.Box.No. 4708,Buddhanagar,Newbaneswor,Kathmandu 4783012,9751029016 & 9841736253","28o 56' 01""","28o 57' 21""","81o 48' 13""","81o 48' 40""",Baluwatar (Dailekh),2082-01-04
162,Super Mai Khola Cascade HPP,3,Mai Khola,250,2075-11-05,2110-11-04,Mai Khola Hydropower Pvt.Ltd.,"Kathmandu-10, Thapagaun; 01-4227294, 4468423, 9851018025","26o 55' 41""","26o 56' 27""","87o 56' 34""","87o 57' 13""","Soyang,Barbote (Ilam)",2077-03-31
163,Upper Rahughat,48.5,Rahughat,253,2075-12-11,2110-12-10,Tudi Power Company Pvt.Ltd,"P.O.Box 6341, Sanepa Lalitpur, Phone 01-5555573, 01-5555574; tundicons@gmail.com","28o 25' 46""","28o 28' 30""","83o 30' 00""","83o 31' 50""","Chimkhola,Dagnam,Jhin,Pakhapani (Myagdi)",2082-07-07
164,Super Hewa HPP,6,Hewa (Sankhuwasabha),254,2075-12-26,2110-12-25,Super Hewa Power Co. Ltd.,"Kathmandu-32, Anamnagar.P O BOX 21363,9851027259; superhewapc@gmail.com","27o 20' 55""","27o 22' 15""","87o 22' 25""","87o 24' 22""","Jaljala,Siddhapokhari (Sankhuwasabha)",2082-01-01
165,Upper Richet Khola SHP,2,Richet,258,2076-02-07,2112-02-06,Upper Richet Hydropower Pvt. Ltd.,"Lalitpur-1, Kupondole; tel: 01-4472349; emai: urhppl@gmail.com","28o 10' 56""","28o 11' 53""","84o 55' 52""","84o 56' 49""","Kashigaun,Manbu (Gorkha)",2081-05-27
166,Lower Jogmai Khola HPP,6.2,Jogmai Khola,264,2076-03-12,2112-03-11,Asian Hydropower Pvt. Ltd,"Kathmandu-10 New Baneshwor, P.O. Box 9879, 4491882,4470887, 9851018025","26o 53' 00""","26o 53' 56""","87o 57' 26""","87o 59' 50""","Namsaling,Goduk,Panchakanya (Ilam)",2078-07-15
167,Upper Suri Khola HPP,7,"Hulak,Kolung",268,2076-04-15,2111-04-14,Makar Jitumaya Hudropower Pvt.Ltd.,"Kathmandu-11,Tripureswor,","27o 43' 30""","27o 44' 30""","86o 15' 10""","86o 17' 00""",Chankhu (Dolakha),2080-08-21
168,Upper Midim Khola SHP,7.5,Midim Khola,272,2076-05-26,2111-05-25,"Bhujung Hydro Power Ltd.,","Kathmandu-34, Baneshowr, Kathmandu,4480564,9851026587","28o 19' 01""","28o 20' 50""","84o 14' 40""","84o 15' 54""",Bhujung (Lamjung),2081-01-06
169,Upper Chameliya HP,40,Chameliya Khola,273,2076-06-12,2111-06-11,Api Power Co. Ltd,"Trade Tower Thapathali, Kathmandu 11, ph 01-5111037,9801147087 (sanjib); email: info@apihydro.com; Web: www.apihydro.com","29o 44' 20""","29o 46' 57""","80o 46' 50""","80o 49' 12""","Tapoban,Latinath,Guljar,Sitaula (Darchula)",2080-04-28
170,Kabeli B1 Cascade HPP,9.94,Kabeli Khola,277,2076-07-26,2112-07-25,Arun Valley Hydropower Development Company Ltd.,"Trade Tower Nepal, 2 nd floor,Thapathali, Kathmandu","27o 16' 02""","27o 16' 50""","87o 45' 51""","87o 47' 00""","Ambarpur,Nagi (Panchthar)",2078-12-12
171,Sagu Khola HEP,20,Sangu Khola,278,2076-08-12,2111-08-11,Him Parbat Hydropower Pvt. Ltd.,"World Trade Centre, Tripureshwor 5th floor, Kathmandu, 01-4117008,01-4117079,himal Gurung 9851053161, P.O Box 8941","27o 47' 18""","27o 49' 49""","86o 05' 35""","86o 07' 20""","Alampu,Chilankha,Khupachagu (Dolakha)",2082-06-25
172,Chepe Khola Small HEP,8.63,Chepe Khola,279,2076-08-16,2112-08-15,Aashutosh Investment Pvt. Ltd.,"KMC-16, Kathmandu, 01-4359237 (Jivraj Kandel)","28o 10' 39""","28o 12' 55""","84o 37' 43""","84o 39' 05""",Kharibot (Gorkha) Dudhpokhari (Lamjung),2079-06-16
173,Dudhkunda Khola HEP,12,Solu Khola,280,2076-08-18,2111-08-17,Mount Everest Power Development P.Ltd.,"Mahalaxmisthan , Lalitpur-13, Ph. 01-5523784,5527469, 9851039258(Arjun Paudel)","27o 35' 10""","27o 37' 05""","86o 35' 52""","86o 36' 48""","Beni,Takasindu (Solukhumbu)",2081-04-16
174,Upper Machha Khola HEP,4.55,Machha Khola,283,2076-09-29,2111-09-28,Bikash Hydropower Company Pvt. Ltd.,"Maharajgunj-3, Kathmandu, 01-4445083, 4445084, 9851073099, Contact no; Krishna prasad ghimire","28o 12' 33""","28o 13' 20""","84o 48' 27""","84o 49' 27""","Gumda,Laprak (Gorkha)",2079-11-17
175,Bhim Khola Small HEP,4.96,Bhim Khola,284,2076-09-29,2112-09-28,Shikhar Power Development Pvt.Ltd.,"Baneshower, Kathmandu 9851133303","28o 17' 05""","28o 17' 42""","83o 12' 54""","83o 14' 40""","Gwalichaur,Bhinggithe,Ranasinkiteni (Baglung)",2081-11-25
176,Jogmai Cascade,5.2,Jogmai Khola,285,2076-10-01,2112-09-30,Sanvi Energy Pvt. Ltd.,"Kupondole, Lalitpur. PO Box: 9875 EPC 3141","26o 53' 47""","26o 54' 52""","87o 59' 50""","88o 01' 09""",Namsaling (Ilam),2082-03-11
177,Sagu khola 1 HPP,5.5,Sagu,292,2076-10-21,2111-10-20,Him Parbat Hydropower Pvt. Ltd,"Tripureshwor 11 KTM, 4117079, 9851053161","27o 49' 49""","27o 50' 39""","86o 05' 48""","86o 06' 40""","Alampu,Chilankha (Dolakha)",2082-04-08
178,Thulo Khola Hydropower Project,21.3,Thulo Khola,294,2076-12-10,2111-12-09,Samyukta Urja Ltd.,"kupondole, Lalitpur, samyuktaurja@gmail.com","28o 32' 46""","28o 34' 56""","83o 31' 00""","83o 33' 00""",Kuinemangale (Myagdi),2082-05-09
179,Chepe Khola HEP,7,Chepe Khola,297,2077-02-15,2112-02-14,Champawati Hydro Power P.Ltd,"Kathmandu -14 Balkhu,4036085,4036086","28o 07' 10""","28o 08' 23""","84o 33' 06""","84o 35' 00""","Thalajung,Kerabari (Gorkha)",2081-03-25
180,Madme Khola HPP,24,Madme Khola,299,2077-03-03,2112-03-02,Madme Khola Hydropower Ltd.,"Lalitpur-10, Somnath Kandel: 9851201536, madamekhola24@gmail.com, 015450934","28o 25' 30""","28o 26' 20""","84o 07' 04""","84o 09' 12""",Namarjung (Kaski),2082-09-12
181,Seti Khola HPP,25,Seti Khola (Gandaki),304,2077-03-15,2112-03-14,Vision Lumbini Urja Company Limited.,"Butwal-8, Rupandehi, 071-549494, 548464,9857025140","28o 18' 40""","28o 22' 12""","83o 57' 15""","83o 58' 30""","Ghachok,Machhapuchchhre,Purachaur,Sardikhola (Kaski)",2081-07-27
182,Karuwa Seti HEP,32,Seti Khola (Gandaki),305,2077-03-15,2112-03-14,Jhyamolongma Hydropower Development Company Pvt. Ltd.,"kaski, Pokhara, 9849821564, 01-5520254,5543896,5012027","28o 22' 12""","28o 24' 30""","83o 57' 50""","83o 59' 30""","Machhapuchchhre,Sardikhola (Kaski)",2082-01-19
183,Upper Piluwa 3 HPP,4.95,Piluwa Khola,306,2077-04-09,2112-04-08,Mabilung Energy.Ltd,"Kathmandu-34,Sachetanmarg New Baneshower, house no. 162,016922762,9843142092,9851150167,mabilungenergy@gmail.com","27o 17' 42""","27o 18' 04""","87o 24' 22""","87o 25' 30""","Mawadin,Siddhakali (Sankhuwasabha)",2082-06-04
184,Mid Solu Khola HEP,9.5,Solu Khola,308,2077-04-22,2112-04-21,Mid Solu Hydropower Ltd.,"Baneshwor-10, Baburam Acharaya Sadak 1757/70, Kathmandu Contact No. 9751000158,01-4470584, 9841560491","27o 29' 16""","27o 31' 15""","86o 34' 00""","86o 35' 05""","Gora Khami,Salleri (Solukhumbu)",2079-09-15
